"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jose Ramirez","CLE","58","254","17","45","46","10","12.2%","16.9%",".315",".294",".292",".386",".607",".415",".371","166","1.9","22.7","1.7","3.5","13510"
"Freddie Freeman","ATL","60","262","13","51","53","2","17.2%","14.1%",".299",".366",".341",".462",".640",".456",".461","186","-0.3","28.5","-1.3","3.3","5361"
"Fernando Tatis Jr.","SDP","59","257","17","50","45","11","10.5%","23.7%",".295",".306",".277",".366",".571",".392",".419","150","1.4","17.9","3.1","2.9","19709"
"Mookie Betts","LAD","55","246","16","47","39","10","9.8%","15.4%",".269",".289",".292",".366",".562",".390",".359","147","3.3","18.2","3.1","2.9","13611"
"Trea Turner","WSN","59","259","12","46","41","12","8.5%","13.9%",".253",".353",".335",".394",".588",".413",".379","158","2.4","21.7","-0.5","2.7","16252"
"Anthony Rendon","LAA","52","232","9","29","31","0","16.4%","13.4%",".212",".302",".286",".418",".497",".395",".387","153","0.0","15.1","3.7","2.6","12861"
"Mike Yastrzemski","SFG","54","225","10","39","35","2","13.3%","24.4%",".271",".370",".297",".400",".568",".407",".367","159","0.8","17.8","1.2","2.6","14854"
"Manny Machado","SDP","60","254","16","44","47","6","10.2%","14.6%",".277",".297",".304",".370",".580",".391",".384","150","-1.7","14.4","3.2","2.6","11493"
"Jose Abreu","CHW","60","262","19","43","60","0","6.9%","22.5%",".300",".350",".317",".370",".617",".411",".398","165","-1.0","20.0","-5.4","2.6","15676"
"Marcell Ozuna","ATL","60","267","18","38","56","0","14.2%","22.5%",".298",".391",".338",".431",".636",".444",".435","178","-0.2","26.4","-7.8","2.5","10324"
"DJ LeMahieu","NYY","50","216","10","41","27","3","8.3%","9.7%",".226",".370",".364",".421",".590",".429",".361","177","0.7","21.1","-1.2","2.5","9874"
"Trevor Story","COL","59","259","11","41","28","15","9.3%","24.3%",".230",".354",".289",".355",".519",".370",".333","118","4.0","10.0","6.3","2.5","12564"
"Mike Trout","LAA","53","241","17","41","46","1","14.5%","23.2%",".322",".300",".281",".390",".603",".407",".421","161","1.3","19.4","-2.4","2.5","10155"
"Juan Soto","WSN","47","196","13","39","37","6","20.9%","14.3%",".344",".363",".351",".490",".695",".478",".474","201","-0.5","24.9","-4.9","2.5","20123"
"Brandon Lowe","TBR","56","224","14","36","37","3","11.2%","25.9%",".285",".309",".269",".362",".554",".385",".382","152","2.9","17.2","1.4","2.4","18882"
"Ronald Acuna Jr.","ATL","46","202","14","46","29","8","18.8%","29.7%",".331",".302",".250",".406",".581",".413",".421","158","2.2","17.1","2.0","2.4","18401"
"Trent Grisham","SDP","59","252","10","42","26","10","12.3%","25.4%",".205",".310",".251",".352",".456",".349",".365","122","-0.2","6.8","8.3","2.3","18564"
"Paul Goldschmidt","STL","58","231","6","31","21","1","16.0%","18.6%",".162",".364",".304",".417",".466",".387",".394","147","1.1","14.9","-2.9","2.2","9218"
"Tim Anderson","CHW","49","221","10","45","21","5","4.5%","22.6%",".207",".383",".322",".357",".529",".376",".357","141","0.8","12.0","-0.1","2.1","15172"
"Michael Conforto","NYM","54","233","9","40","31","3","10.3%","24.5%",".193",".412",".322",".412",".515",".401",".375","158","-0.2","17.1","-2.3","2.1","16376"
"Cesar Hernandez","CLE","58","261","3","35","20","0","9.2%","21.8%",".124",".364",".283",".355",".408",".335",".328","112","0.4","4.3","4.7","2.0","10556"
"Nelson Cruz","MIN","53","214","16","33","33","0","11.7%","27.1%",".292",".360",".303",".397",".595",".411",".377","164","-0.7","16.3","-5.6","2.0","2434"
"Wil Myers","SDP","55","218","15","34","40","2","8.3%","25.7%",".318",".331",".288",".353",".606",".400",".392","155","1.4","16.7","-4.7","1.9","10047"
"Xander Bogaerts","BOS","56","225","11","36","28","8","9.3%","18.2%",".202",".329",".300",".364",".502",".368",".339","130","2.7","11.0","2.4","1.9","12161"
"George Springer","HOU","51","222","14","37","32","1","10.8%","17.1%",".275",".259",".265",".359",".540",".379",".397","145","1.3","13.6","-2.2","1.9","12856"
"Dansby Swanson","ATL","60","264","10","49","35","5","8.3%","26.9%",".190",".350",".274",".345",".464",".348",".352","115","4.2","9.3","2.8","1.9","18314"
"Ian Happ","CHC","57","231","12","27","28","1","13.0%","27.3%",".247",".317",".258",".361",".505",".369",".358","130","0.2","9.0","-0.3","1.9","17919"
"Francisco Lindor","CLE","60","266","8","30","27","6","9.0%","15.4%",".157",".280",".258",".335",".415",".324",".345","104","-2.5","-1.1","8.2","1.8","12916"
"Dominic Smith","NYM","50","199","10","27","42","0","7.0%","22.6%",".299",".368",".316",".377",".616",".412",".389","166","0.6","17.3","-3.8","1.8","15653"
"Corey Seager","LAD","52","232","15","38","41","1","7.3%","15.9%",".278",".309",".307",".358",".585",".394",".427","150","-1.8","13.1","-2.5","1.8","13624"
"Luke Voit","NYY","56","234","22","41","52","0","7.3%","23.1%",".333",".268",".277",".338",".610",".393",".388","153","0.1","15.3","-3.2","1.8","14811"
"Kole Calhoun","ARI","54","228","16","35","40","1","12.3%","21.9%",".300",".211",".226",".338",".526",".362",".373","125","0.5","7.7","2.6","1.8","11200"
"Mark Canha","OAK","59","243","5","32","33","4","15.2%","22.2%",".162",".307",".246",".387",".408",".351",".355","127","2.2","10.3","-1.0","1.7","11445"
"J.T. Realmuto","PHI","47","195","11","33","32","4","8.2%","24.6%",".225",".307",".266",".349",".491",".361",".355","124","2.0","8.0","4.2","1.7","11739"
"Kyle Lewis","SEA","58","242","11","37","28","5","14.0%","29.3%",".175",".341",".262",".364",".437",".349",".343","127","1.7","9.7","-1.0","1.7","19508"
"Yasmani Grandal","CHW","46","194","8","27","27","0","15.5%","29.9%",".193",".299",".230",".351",".422",".338",".327","115","-2.4","1.2","7.0","1.6","11368"
"Eloy Jimenez","CHW","55","226","14","26","41","0","5.3%","24.8%",".263",".340",".296",".332",".559",".373",".368","139","0.5","11.3","-4.7","1.6","17484"
"Bryce Harper","PHI","58","244","13","41","33","8","20.1%","17.6%",".274",".279",".268",".420",".542",".400",".453","150","-0.6","15.0","-5.1","1.6","11579"
"Alex Verdugo","BOS","53","221","6","36","15","4","7.7%","20.4%",".169",".371",".308",".367",".478",".362",".298","126","1.1","8.2","2.3","1.6","17027"
"Yoan Moncada","CHW","52","231","6","28","24","0","12.1%","31.2%",".160",".315",".225",".320",".385",".309",".288","95","3.0","1.7","4.3","1.6","17232"
"Willson Contreras","CHC","57","225","7","37","26","1","8.9%","25.3%",".164",".307",".243",".356",".407",".336",".352","108","-0.8","1.6","4.6","1.6","11609"
"Jeimer Candelario","DET","52","206","7","30","29","1","9.7%","23.8%",".205",".372",".297",".369",".503",".373",".353","138","0.8","10.4","-3.5","1.6","13621"
"Brandon Nimmo","NYM","55","225","8","33","18","1","14.7%","19.1%",".204",".326",".280",".404",".484",".387",".355","149","0.0","14.1","-4.0","1.6","12927"
"Kyle Seager","SEA","60","248","9","35","40","5","12.9%","13.3%",".192",".240",".241",".355",".433",".338",".364","119","1.7","7.4","-0.3","1.5","9785"
"Teoscar Hernandez","TOR","50","207","16","33","34","6","6.8%","30.4%",".289",".348",".289",".340",".579",".384",".396","142","1.0","11.7","-1.6","1.5","13066"
"David Fletcher","LAA","49","230","3","31","18","2","8.7%","10.9%",".106",".348",".319",".376",".425",".350",".316","122","-0.7","5.5","1.9","1.5","17992"
